cell,seed,n,p_original,p_motif_shuffled,p_control_shuffled,drop_motif,drop_control,p_motif_to_GC,drop_motif_to_GC,excess_drop,frac_flipped_motif,frac_flipped_control
A chrom+centred,0,723,0.88720363,0.5818572,0.88622963,0.30534655,0.000974088,0.6437334,0.2434703,0.30437246,0.3872752420470263,0.005532503457814661
A chrom+centred,1,722,0.8871321,0.5948221,0.88639504,0.29231,0.0007371148,0.6378526,0.24927959,0.2915729,0.3670360110803324,0.002770083102493075
A chrom+centred,2,721,0.89567703,0.61563176,0.8942067,0.2800453,0.0014703232,0.67398137,0.22169565,0.27857494,0.31622746185852985,0.0027739251040221915
A chrom+centred,3,714,0.8826048,0.6109967,0.883107,0.2716081,-0.00050217524,0.6652297,0.2173751,0.27211028,0.3403361344537815,0.0056022408963585435
A chrom+centred,4,722,0.8857525,0.61681205,0.88469553,0.26894048,0.0010569328,0.6710758,0.21467671,0.26788354,0.3448753462603878,0.006925207756232687
