cell,seed,n,p_original,p_motif_shuffled,p_control_shuffled,drop_motif,drop_control,p_motif_to_GC,drop_motif_to_GC,excess_drop,frac_flipped_motif,frac_flipped_control
D region+padded,0,702,0.88652086,0.5414399,0.88488126,0.34508088,0.0016395195,0.55833745,0.32818338,0.34344137,0.4943019943019943,0.0014245014245014246
D region+padded,1,702,0.8845478,0.5163735,0.8821747,0.3681743,0.0023731214,0.5417953,0.34275252,0.36580116,0.5512820512820513,0.0014245014245014246
D region+padded,2,703,0.8612922,0.55691004,0.8604691,0.30438212,0.0008229975,0.571989,0.28930306,0.3035591,0.4523470839260313,0.0
D region+padded,3,703,0.85651964,0.5053852,0.8563887,0.3511343,0.00013092732,0.53298277,0.32353684,0.35100338,0.5718349928876245,0.0
D region+padded,4,703,0.87315106,0.5236987,0.87078345,0.3494524,0.002367585,0.5395021,0.333649,0.3470848,0.5433854907539118,0.001422475106685633
