model,seed,test_auc_roc,test_auc_pr,num_params,epochs
cnn_lstm_attention,0,0.752,0.7566,18210,40
cnn_lstm_attention,1,0.7514,0.7552,18210,40
cnn_lstm_attention,2,0.7516,0.7565,18210,40
cnn_lstm_attention,3,0.7532,0.7564,18210,40
cnn_lstm_attention,4,0.7504,0.7547,18210,40
