cell,seed,n,p_original,p_motif_shuffled,p_control_shuffled,drop_motif,drop_control,p_motif_to_GC,drop_motif_to_GC,excess_drop,frac_flipped_motif,frac_flipped_control
C chrom+padded,0,695,0.8653482,0.560391,0.8642919,0.3049572,0.0010563466,0.6164038,0.24894433,0.30390084,0.41294964028776976,0.0057553956834532375
C chrom+padded,1,698,0.8652027,0.5848347,0.864833,0.28036815,0.00036985968,0.62817067,0.23703215,0.27999827,0.34097421203438394,0.0057306590257879654
C chrom+padded,2,693,0.84741306,0.5939577,0.84405226,0.25345537,0.0033608838,0.6408162,0.20659687,0.2500945,0.3246753246753247,0.002886002886002886
C chrom+padded,3,700,0.8711695,0.5801451,0.8710292,0.2910244,0.00014024657,0.6276277,0.24354187,0.29088414,0.36,0.0
C chrom+padded,4,706,0.85909075,0.5928988,0.85682917,0.26619196,0.0022616077,0.6399183,0.21917246,0.26393038,0.32011331444759206,0.0
